species,dd_long,dd_lat
Pelopidas_mathias,71.47991,30.17380
Pelopidas_mathias,68.31461,25.55978
Pelopidas_mathias,66.55530,27.57380
Pelopidas_mathias,67.09241,24.99677
Pelopidas_sinensis,73.55926,34.74458
Pelopidas_sinensis,73.37247,34.68629
Pelopidas_sinensis,73.38140,34.40752
Pelopidas_sinensis,73.13964,34.42561
Pelopidas_sinensis,73.24743,34.24783
Pelopidas_sinensis,73.13560,34.24426
Pelopidas_sinensis,73.21947,34.15027
Pelopidas_sinensis,73.34316,33.97126
Pelopidas_sinensis,73.47260,34.11498
Pelopidas_sinensis,72.89138,33.83499
Pelopidas_sinensis,73.13361,33.71371
Pelopidas_thrax,69.90603,24.22595
Pelopidas_thrax,67.06662,24.96293
Pelopidas_thrax,66.68576,27.71091
Pelopidas_thrax,67.75488,29.70977
Pelopidas_thrax,74.13738,31.51717
Pelopidas_thrax,73.09774,33.24704
Pelopidas_thrax,73.16246,33.42407
Pelopidas_thrax,73.17769,33.68867
Polytremis_discreta,73.27680,34.40039
Polytremis_discreta,73.23772,33.58234
Polytremis_discreta,73.04641,33.58876
Polytremis_discreta,73.07020,33.78007
Polytremis_discreta,72.77705,33.79815
Polytremis_discreta,73.54094,33.88847
Polytremis_eltola,73.57427,34.72162
Polytremis_eltola,73.31809,34.62604
Polytremis_eltola,73.31333,34.49279
Polytremis_eltola,73.48788,34.12910
Polytremis_eltola,73.52862,33.91737
Polytremis_eltola,73.79492,33.83593
Polytremis_eltola,73.14942,33.85354
Potanthus_dara,74.23266,31.49538
Potanthus_dara,73.13478,33.51858
Potanthus_dara,73.15905,33.79697
Potanthus_dara,72.97773,33.89977
Potanthus_dara,72.82212,33.74558
Potanthus_dara,73.10621,34.57858
Potanthus_dara,73.07338,34.43010
Potanthus_dara,73.25755,34.30161
Potanthus_dara,73.39460,34.46294
Potanthus_dara,73.39318,34.60142
Potanthus_dara,72.72828,34.97902
Potanthus_dara,71.99873,35.08942
Potanthus_dara,72.11677,35.67806
Potanthus_dara,71.92523,35.82559
Suastus_gremius,66.89587,25.11768
Suastus_gremius,66.89948,24.96350
Suastus_gremius,74.15588,31.51990
Suastus_gremius,73.59631,33.86389
Suastus_gremius,73.19287,33.73010
Suastus_gremius,73.20551,33.86749
Suastus_gremius,72.99847,33.87830
Suastus_gremius,72.84808,33.72412
Taractrocera_danna,71.78254,34.84904
Taractrocera_danna,74.04515,35.93769
Taractrocera_danna,73.31682,34.37853
Taractrocera_danna,73.57891,33.89100
Taractrocera_danna,73.24158,33.66108
Taractrocera_maevius,71.49511,34.13453
Taractrocera_maevius,72.81881,33.83667
Taractrocera_maevius,73.00183,33.49355
Taractrocera_maevius,73.22055,33.49069
Taractrocera_maevius,73.20247,33.66963
Taractrocera_maevius,72.99926,33.66463
Taractrocera_maevius,73.23955,34.02020
Taractrocera_maevius,73.19707,34.29417
